timestamp,energy,occupancy,device_usage,temp_indoor,temp_outdoor,humidity_indoor,humidity_outdoor,energy_profile,confidence
2025-03-11 21:58:08.531393,145.27,3,7,19.93111111111111,12.01,49.40555555555555,52.76,High,Low
2025-03-11 21:58:18.581465,192.32,2,4,19.943333333333335,16.02,51.27,55.54,High,Low
2025-03-11 21:58:28.652305,357.77,2,4,20.296666666666667,14.45,46.79444444444445,68.37,Very High,Low
2025-03-11 21:58:38.708313,407.1,4,5,20.352222222222224,10.82,52.78111111111112,74.44,Very High,Low
2025-03-11 21:58:48.759621,442.28,4,7,19.686666666666667,13.39,48.483333333333334,55.77,Very High,Low
2025-03-11 21:58:58.805250,398.14,3,6,19.60222222222222,14.79,48.67111111111112,64.15,Very High,Low
2025-03-11 21:59:08.852143,188.28,5,9,20.12555555555555,15.22,52.22,69.84,High,Low
2025-03-11 21:59:18.903841,426.91,4,8,20.299999999999997,12.02,52.26444444444444,69.76,Very High,Low
2025-03-11 21:59:28.955031,378.29,3,4,20.266666666666666,12.04,48.812222222222225,72.14,Very High,Low
2025-03-11 21:59:39.003544,417.28,5,6,19.815555555555555,15.02,51.91,55.24,Very High,Low
2025-03-11 21:59:49.049357,339.68,2,3,19.876666666666665,16.6,55.97444444444445,69.9,Very High,Low
2025-03-11 21:59:59.115840,364.26,2,2,20.03555555555555,19.64,51.14111111111111,58.02,Very High,Low
2025-03-11 22:00:09.149117,247.83,4,4,19.78555555555555,18.45,50.586666666666666,59.68,Very High,Low
2025-03-11 22:00:19.201316,117.1,4,6,19.98111111111111,15.77,45.836666666666666,72.1,High,Low
2025-03-11 22:00:29.232524,292.24,4,8,20.531111111111112,19.49,47.388888888888886,61.5,Very High,Low
2025-03-11 22:00:39.285907,178.63,2,2,20.383333333333333,16.0,51.30777777777777,61.3,High,Low
2025-03-11 22:00:49.324232,470.54,5,9,19.753333333333337,11.8,50.080000000000005,68.48,Very High,Low
2025-03-11 22:00:59.377931,160.61,3,4,20.324444444444445,11.66,50.06333333333333,74.21,High,Low
2025-03-11 22:01:09.421965,357.03,2,2,19.595555555555556,19.29,48.86333333333333,70.76,Very High,Low
2025-03-11 22:01:19.472174,444.31,3,7,20.01555555555555,11.05,51.02333333333333,66.44,Very High,Low
2025-03-11 22:01:29.522121,217.36,4,7,20.245555555555555,14.07,51.46333333333334,65.42,Very High,Low
2025-03-11 22:01:39.557837,471.75,4,7,20.293333333333333,15.39,50.86222222222222,54.25,Very High,Low
2025-03-11 22:01:49.593223,466.98,5,6,20.702222222222225,19.41,47.68555555555556,69.21,Very High,Low
2025-03-11 22:01:59.641458,509.48,5,8,19.88111111111111,18.05,49.34555555555555,52.11,Very High,Low
2025-03-11 22:02:09.693287,451.01,4,8,20.32888888888889,17.06,49.48555555555556,73.72,Very High,Low
